"Class","Accuracy"
"Cropland","85.20±0.78 %"
"Forest","97.47±1.14 %"
"Grassland","83.03±1.02 %"
"Shrubland","80.91±1.47 %"
"Water","97.73±0.20 %"
"Built-up","88.51±0.35 %"
"Bareland","96.22±0.19 %"
"AA","89.87±0.10 %"
